,Rank,Series_Name,Release_year,Duration,Genre,Star,Licence,No_of_votes,Rating
199,200,Grace and Frankie,2015,30 m,Comedy,Jane,18+,"46,467",8.3
200,201,Good Omens,2019,328 m,"Comedy,",David,18,"71,390",8.1
201,202,Veep,2012,28 m,Comedy,Julia,18+,"52,315",8.4
202,203,The Ranch,2016,30 m,"Comedy,",Ashton,A,"37,348",7.6
203,204,Black Clover,2017,24 m,"Animation,",Dallas,18+,"18,624",8.6
204,205,MacGyver,2016,43 m,"Action,",Lucas,18+,"20,531",5.5
205,206,JoJo no kimy na b ken,2012,30 m,"Animation,",Matthew,18+,"19,166",8.5
206,207,The Conners,2018,30 m,Comedy,John,18,"9,944",5.4
207,208,Blue Mountain State,2010,22 m,"Comedy,",Darin,18+,"52,350",8.4
208,209,Poldark,2015,60 m,"Drama,",Aidan,18,"30,037",8.3
209,210,Gravity Falls,2012,23 m,"Animation,",Jason,18+,"94,454",8.9
210,211,Mayans M C,2018,60 m,"Crime,",Sarah,16+,"15,941",7.6
211,212,Agatha Raisin,2014,60 m,"Comedy,",Ashley,18+,"4,504",7.3
212,213,Rizzoli Isles,2010,60 m,"Crime,",Angie,13+,"32,681",7.7
213,214,Revenge,2011,44 m,"Drama,",Madeleine,18+,"118,170",8.0
214,215,The Magicians,2015,60 m,"Drama,",Stella,18,"48,914",7.6
215,216,Dynasty,2017,42 m,Drama,Elizabeth,18+,"20,694",7.4
216,217,iZombie,2015,42 m,"Comedy,",Rose,A,"65,729",7.9
217,218,Bron Broen,2011,60 m,"Crime,",Sofia,18+,"66,231",8.7
218,219,Wentworth,2013,45 m,"Crime,",Kate,18,"21,462",8.7
219,220,Travelers,2016,45 m,"Drama,",Eric,18+,"53,602",8.1
220,221,Scream,2015,45 m,"Comedy,",Willa,15+,"39,482",7.1
221,222,Black ish,2014,22 m,Comedy,Anthony,18+,"22,326",7.2
222,223,Sense,8,60 m,"Drama,",Bae,12+,"150,321",8.3
223,224,Bloodline,2015,60 m,"Drama,",Kyle,18+,"49,846",7.9
224,225,Grantchester,2014,45 m,"Crime,",Robson,18,"13,037",8.0
225,226,Kingdom,2019,45 m,"Action,",Ju,18+,"42,697",8.4
226,227,Mr Inbetween,2018,30 m,"Crime,",Scott,16,"14,743",8.6
227,228,Fuller House,2016,30 m,"Comedy,",Jodie,18+,"26,910",6.9
228,229,Happy Endings,2011,22 m,"Comedy,",Eliza,18+,"37,685",7.8
229,230,Formula Drive to Survive,1,40 m,"Documentary,",Lewis,18+,"32,977",8.7
230,231,The End of the F ing World,2017,25 m,"Adventure,",Jessica,16+,"174,163",8.1
231,232,American Gods,2017,60 m,"Drama,",Ricky,18+,"83,612",7.7
232,233,Scorpion,2014,43 m,"Action,",Elyes,16+,"51,951",7.2
233,234,One Punch Man Wanpanman,2015,24 m,"Animation,",Makoto,18+,"144,779",8.8
234,235,Girls,2012,28 m,"Comedy,",Lena,18,"70,070",7.3
235,236,Vice Principals,2016,30 m,Comedy,Danny,18+,"25,003",8.0
236,237,Borgen,2010,58 m,Drama,Sidse,16+,"23,061",8.5
237,238,Russian Doll,2019,30 m,"Adventure,",Natasha,18+,"80,441",7.8
238,239,Derry Girls,2018,30 m,Comedy,Saoirse-Monica,16+,"28,451",8.4
239,240,Unforgotten,2015,45 m,"Crime,",Sanjeev,18+,"20,917",8.3
240,241,Shadowhunters The Mortal Instruments,2016,42 m,"Action,",Katherine,A,"60,202",6.8
241,242,Merl Sapere Aude,2019,60 m,Drama,Carlos,18+,"1,415",7.6
242,243,Chilling Adventures of Sabrina,2018,60 m,"Drama,",Kiernan,18+,"88,958",7.5
243,244,Legion,2017,44 m,"Action,",Dan,18+,"88,227",8.2
244,245,StartUp,2016,48 m,"Crime,",Adam,16+,"27,982",7.9
245,246,Broadchurch,2013,42 m,"Crime,",David,18+,"107,945",8.4
246,247,Evil,2019,30 m,"Crime,",Katja,A,"20,854",7.7
247,248,Dickinson,2019,60 m,"Biography,",Hailee,18+,"12,575",7.6
248,249,The Curse of Oak Island,2014,60 m,"Documentary,",Robert,16,"5,314",6.9
249,250,Warrior,2019,15 m,"Action,",Andrew,18+,"24,293",8.4
250,251,Love Death Robots,2019,70 m,"Animation,",Scott,13,"132,559",8.5
251,252,Sa rang eui bul sa chak,2019,23 m,"Adventure,",Hyun,18+,"23,378",8.8
252,253,Harley Quinn,2019,60 m,"Animation,",Kaley,A,"22,171",8.5
253,254,Victoria,2016,22 m,"Biography,",Jenna,18+,"25,970",8.2
254,255,Younger,2015,45 m,"Comedy,",Sutton,18,"22,412",7.9
255,256,Good Trouble,2019,22 m,"Comedy,",Cierra,18+,"6,217",7.6
256,257,Miracle Workers,2019,22 m,"Comedy,",Daniel,15+,"13,461",7.1
257,258,Broke Girls,2,45 m,Comedy,Kat,18+,"95,577",6.7
258,259,The Bold Type,2017,55 m,"Comedy,",Katie,A,"19,636",7.9
259,260,The Newsroom,2012,23 m,Drama,Jeff,18+,"112,270",8.6
260,261,High School DxD,2012,45 m,"Animation,",Yûki,18,"9,605",7.8
261,262,Madam Secretary,2014,7 m,"Drama,",Téa,18+,"22,201",7.7
262,263,Bluey,2018,60 m,"Animation,",David,12+,"6,035",9.7
263,264,Parenthood,2010,60 m,"Comedy,",Peter,18+,"34,088",8.3
264,265,The Good Karma Hospital,2017,42 m,Drama,Amanda,UA,"2,091",7.9
265,266,In the Dark,2019,43 m,"Action,",Perry,18+,"10,882",7.7
266,267,Charmed,2018,23 m,"Drama,",Melonie,12+,"15,698",4.7
267,268,Castlevania,2017,23 m,"Animation,",Richard,18+,"59,773",8.3
268,269,Young Justice,2010,23 m,"Animation,",Nolan,18+,"38,389",8.7
269,270,Boruto Naruto Next Generations,2017,43 m,"Animation,",Yûko,18+,"18,777",7.3
270,271,Another Life,2019,45 m,"Adventure,",Katee,18,"34,663",5.3
271,272,Strike Back,2010,32 m,"Action,",Philip,18+,"31,210",8.2
272,273,Modern Love,2019,22 m,"Comedy,",Anne,16+,"30,782",8.0
273,274,Kim s Convenience,2016,60 m,Comedy,Paul,18+,"16,824",8.3
274,275,Medici,2016,180 m,"Biography,",Daniel,UA 7+,"18,239",7.9
275,276,Critical Role,2015,30 m,"Adventure,",Matthew,18+,"8,543",9.4
276,277,Santa Clarita Diet,2017,49 m,"Comedy,",Drew,18+,"64,187",7.9
277,278,War of the Worlds,2019,30 m,"Drama,",Léa,18+,"12,194",6.3
278,279,The Kominsky Method,2018,60 m,"Comedy,",Michael,18+,"38,080",8.2
279,280,The Affair,2014,50 m,Drama,Dominic,18+,"44,283",7.9
280,281,A Series of Unfortunate Events,2017,55 m,"Adventure,",Neil,18,"58,637",7.8
281,282,Luke Cage,2016,22 m,"Action,",Mike,18+,"126,257",7.3
282,283,Workaholics,2011,30 m,Comedy,Blake,16,"50,155",8.2
283,284,Hot in Cleveland,2010,45 m,Comedy,Valerie,18+,"14,207",7.4
284,285,Bates Motel,2013,60 m,"Drama,",Vera,16,"104,540",8.2
285,286,Twin Peaks,2017,60 m,"Crime,",Kyle,18+,"64,526",8.5
286,287,The Deuce,2017,55 m,Drama,James,18+,"27,893",8.1
287,288,Iron Fist,2017,60 m,"Action,",Finn,18+,"125,782",6.5
288,289,Shooter,2016,45 m,"Action,",Ryan,16+,"35,016",7.5
289,290,Marcella,2016,60 m,"Crime,",Anna,18+,"29,767",7.4
290,291,Masters of Sex,2013,50 m,"Drama,",Michael,16,"36,334",7.9
291,292,Badehotellet,2013,60 m,"Comedy,",Amalie,18+,"2,600",7.8
292,293,Penny Dreadful,2014,27 m,"Drama,",Josh,18,"118,851",8.2
293,294,The Girlfriend Experience,2016,60 m,Drama,Riley,18+,"10,429",7.0
294,295,Castle Rock,2018,50 m,"Drama,",Bill,18+,"43,631",7.6
295,296,Love,2016,60 m,"Comedy,",Gillian,18+,"41,218",7.7
296,297,Hart of Dixie,2011,42 m,"Comedy,",Rachel,15+,"51,434",7.9
297,298,Into the Badlands,2015,55 m,"Action,",Daniel,18+,"45,284",8.0
298,299,Godfather of Harlem,2019,50 m,"Crime,",Forest,16,"12,474",8.1
299,300,Undercover,2019,45 m,"Crime,",Tom,18+,"16,417",7.9
300,301,Hudson Rex,2019,58 m,"Crime,",John,18,"1,882",7.2
301,302,Happy Valley,2014,24 m,"Crime,",Sarah,18+,"37,940",8.5
302,303,Vinland Saga,2019,44 m,"Animation,",Ryan,18+,"28,660",8.8
303,304,Nancy Drew,2019,30 m,"Drama,",Kennedy,18+,"7,949",6.6
304,305,Atypical,2017,120 m,"Comedy,",Jennifer,7,"81,974",8.3
305,306,Dirilis Ertugrul,2014,60 m,"Action,",Engin,18+,"34,974",8.4
306,307,Strike,2017,26 m,"Crime,",Tom,18,"13,773",7.9
307,308,Mrs Brown s Boys,2011,30 m,Comedy,Brendan,18+,"8,342",7.2
308,309,Tacoma FD,2019,60 m,Comedy,Kevin,12+,"5,078",8.1
309,310,Timeless,2016,60 m,"Action,",Abigail,18+,"41,390",7.7
310,311,The Terror,2018,48 m,"Adventure,",Jared,18,"43,174",7.9
311,312,Good Witch,2015,30 m,"Comedy,",Catherine,18+,"10,201",7.4
312,313,Mike Molly,2010,25 m,Comedy,Billy,A,"25,253",6.5
313,314,Alexa Katie,2018,49 m,"Comedy,",Paris,18+,"4,494",7.5
314,315,Wu Tang An American Saga,2019,35 m,"Biography,",Ashton,16,"6,608",8.4
315,316,GLOW,2017,30 m,"Comedy,",Alison,18+,"44,613",8.0
316,317,The Neighborhood I,2018,23 m,Comedy,Cedric,18,"6,705",6.5
317,318,The Legend of Korra,2012,30 m,"Animation,",Janet,18+,"116,015",8.5
318,319,Insecure,2016,60 m,"Comedy,",Issa,16,"17,615",8.0
319,320,Preacher,2016,60 m,"Adventure,",Dominic,18+,"72,778",8.0
320,321,Mr Mercedes,2017,42 m,"Crime,",Brendan,16,"20,578",7.8
321,322,Agent Carter,2015,60 m,"Action,",Hayley,18+,"80,249",7.9
322,323,The Alienist,2018,43 m,"Crime,",Daniel,16,"52,039",7.7
323,324,Major Crimes,2012,43 m,"Action,",Mary,18+,"13,702",7.8
324,325,The Strain,2014,30 m,"Drama,",Corey,16,"79,492",7.4
325,326,Unbreakable Kimmy Schmidt,2015,22 m,Comedy,Ellie,18+,"69,348",7.6
326,327,The Last Man on Earth,2015,43 m,"Action,",Will,UA 16+,"57,220",7.4
327,328,Nashville,2012,42 m,"Drama,",Hayden,18+,"24,992",7.8
328,329,Hell on Wheels,2011,30 m,"Drama,",Anson,12+,"50,796",8.3
329,330,Workin Moms,2017,60 m,"Comedy,",Catherine,18+,"14,808",7.8
330,331,Frontier,2016,21 m,"Adventure,",Jason,18+,"20,231",7.2
331,332,A P Bio,2018,60 m,Comedy,Glenn,18+,"14,061",7.5
332,333,The Last Ship,2014,60 m,"Action,",Eric,13,"57,413",7.5
333,334,Counterpart,2017,60 m,"Drama,",J.K.,18+,"25,851",8.1
334,335,Marco Polo,2014,42 m,"Action,",Lorenzo,18,"70,555",8.0
335,336,Colony,2016,60 m,"Action,",Josh,18+,"35,163",7.4
336,337,The Fosters,2013,90 m,"Drama,",Teri,18,"27,243",8.1
337,338,Aurora Teagarden Mysteries,2015,24 m,"Crime,",Candace,18+,"1,082",7.7
338,339,Sword Art Online,2012,60 m,"Animation,",Yoshitsugu,PG,"42,938",7.7
339,340,City on a Hill,2019,58 m,"Crime,",Kevin,18+,"11,163",7.6
340,341,Merl,2015,30 m,"Comedy,",Francesc,15+,"8,049",8.6
341,342,Victorious,2010,40 m,"Comedy,",Victoria,18+,"23,786",7.1
342,343,Black Summer,2019,44 m,"Action,",Jaime,16,"28,165",6.6
343,344,Lethal Weapon,2016,60 m,"Action,",Damon,18+,"37,394",7.9
344,345,Beauty and the Beast,2012,46 m,"Drama,",Kristin,16,"36,363",7.3
345,346,Frayed,2019,41 m,"Comedy,",Sarah,18+,"2,291",7.5
346,347,Imposters,2017,44 m,"Comedy,",Inbar,13,"13,170",7.8
347,348,Prodigal Son,2019,45 m,"Crime,",Tom,18+,"19,867",7.7
348,349,Truth Be Told,2019,45 m,"Crime,",Octavia,18,"11,583",7.1
349,350,Roswell New Mexico,2019,60 m,"Drama,",Jeanine,18+,"11,727",6.4
350,351,Pose,2018,58 m,Drama,Michaela,18,"27,510",8.6
351,352,Patriot II,2015,30 m,"Comedy,",Michael,18+,"14,109",8.3
352,353,Last Week Tonight with John Oliver,2014,44 m,"Comedy,",John,18,"85,517",8.9
353,354,Orphan Black,2013,22 m,"Drama,",Tatiana,18+,"107,968",8.3
354,355,Fresh Off the Boat,2015,45 m,Comedy,Randall,18,"24,585",7.8
355,356,Babylon Berlin,2017,50 m,"Crime,",Volker,18+,"22,937",8.4
356,357,The Borgias,2011,120 m,"Crime,",Jeremy,18,"50,483",7.9
357,358,ukur,2017,45 m,"Action,",Aras,18+,"14,403",7.8
358,359,Beforeigners,2019,24 m,"Crime,",Krista,18,"10,237",7.8
359,360,Haikyuu,2014,52 m,"Animation,",Ayumu,18+,"20,850",8.8
360,361,Versailles,2015,43 m,"Biography,",George,18,"16,013",7.9
361,362,Below Deck,2013,30 m,Reality-TV,Lee,18+,"3,082",7.5
362,363,The Mindy Project,2012,60 m,Comedy,Mindy,15+,"31,183",7.5
363,364,Fauda,2015,58 m,"Action,",Lior,18+,"25,119",8.3
364,365,The Putin Interviews,2017,60 m,"Documentary,",Oliver,UA,"4,373",7.5
365,366,Sorjonen,2016,60 m,"Crime,",Ville,18+,"10,286",7.6
366,367,Sneaky Pete,2015,30 m,"Crime,",Giovanni,18,"34,973",8.1
367,368,Norsemen,2016,10 m,Comedy,Kåre,18+,"17,615",7.8
368,369,State of the Union,2019,90 m,"Short,",Chris,18+,"5,190",7.8
369,370,Vienna Blood,2019,42 m,"Crime,",Matthew,18+,"5,270",7.5
370,371,Crazy Ex Girlfriend,2015,60 m,"Comedy,",Rachel,A,"19,365",7.9
371,372,Unforgettable,2011,43 m,"Crime,",Poppy,18+,"18,947",6.9
372,373,Naked and Afraid,2013,1 m,"Adventure,",Michael,13,"3,924",6.6
373,374,Derek,2012,23 m,"Comedy,",Ricky,18+,"31,861",8.1
374,375,Dirk Gently s Holistic Detective Agency,2016,60 m,"Action,",Samuel,7,"48,820",8.2
375,376,Coroner,2019,60 m,"Crime,",Serinda,18+,"4,147",6.8
376,377,Van Helsing,2016,43 m,"Action,",Kelly,18,"21,404",6.3
377,378,The Family Man,2019,45 m,"Action,",Manoj,18+,"80,804",8.9
378,379,Taskmaster,2015,60 m,"Comedy,",Greg,16,"10,092",9.0
379,380,Manhunt II,2017,60 m,"Biography,",Gethin,18+,"56,711",8.1
380,381,The Shannara Chronicles,2016,42 m,"Adventure,",Austin,A,"58,922",7.2
381,382,Bob Hearts Abishola,2019,21 m,"Short,",Billy,18+,"3,812",6.8
382,383,Lykkeland,2018,45 m,Drama,Anne,18,"2,215",7.8
383,384,Henry Danger,2014,30 m,"Action,",Jace,18+,"5,001",5.9
384,385,Grown ish,2018,22 m,"Comedy,",Yara,18,"5,235",6.4
385,386,f r,2015,60 m,"Crime,",Ólafur,18+,"20,201",8.0
386,387,Slasher,2016,60 m,"Crime,",Christopher,18,"13,881",6.7
387,388,Absentia,2017,60 m,"Crime,",Stana,18+,"14,869",7.3
388,389,Tin Star,2017,60 m,"Crime,",Tim,18,"13,724",7.2
389,390,Z Nation,2014,44 m,"Action,",Russell,18+,"35,714",6.8
390,391,The Grand Tour,2016,60 m,"Comedy,",Jeremy,18,"71,265",8.8
391,392,L A s Finest,2019,60 m,"Action,",Jessica,18+,"7,071",6.1
392,393,Under the Dome,2013,43 m,"Drama,",Mike,16,"104,941",6.6
393,394,Wynonna Earp,2016,43 m,"Action,",Melanie,18+,"22,027",7.6
394,395,Everything Sucks,2018,30 m,"Comedy,",Jahi,13,"17,921",7.5
395,396,The Amazing World of Gumball,2011,11 m,"Animation,",Dan,18+,"28,394",8.3
396,397,Condor,2018,60 m,"Action,",Max,A,"14,395",7.7
397,398,Harrow,2018,60 m,"Crime,",Ioan,18+,"7,526",7.6
398,399,PAW Patrol,2013,23 m,"Animation,",Ron,18,"3,003",6.2
399,400,Ash vs Evil Dead,2015,30 m,"Action,",Bruce,18+,"70,235",8.4
400,401,You re the Worst,2014,30 m,"Comedy,",Chris,18,"25,311",8.1
401,402,Covert Affairs,2010,60 m,"Action,",Piper,18+,"28,762",7.4
402,403,Wisting,2019,60 m,"Crime,",Sven,16,"5,350",7.3
403,404,Knightfall,2017,60 m,"Action,",Tom,18+,"19,438",6.8
404,405,Empire,2015,42 m,"Drama,",Terrence,15+,"38,984",7.4
405,406,Nikita,2010,60 m,"Action,",Maggie,18+,"50,742",7.8
406,407,Quantico,2015,42 m,"Crime,",Priyanka,16,"59,936",6.6
407,408,Sleepy Hollow,2013,45 m,"Action,",Tom,18+,"60,038",7.4
408,409,The Twilight Zone,2019,60 m,"Drama,",Jordan,18,"15,121",5.8
409,410,American Housewife,2016,30 m,Comedy,Katy,18+,"9,197",7.4
410,411,Mocro Maffia,2018,60 m,Crime,Achmed,15+,"2,914",8.2
411,412,Gentleman Jack,2019,60 m,"Biography,",Suranne,18+,"10,836",8.3
412,413,Apharan,2018,45 m,"Action,",Arunoday,18,"10,858",8.4
413,414,Life in Pieces,2015,22 m,Comedy,Colin,18+,"14,719",8.0
414,415,Top of the Lake,2013,60 m,"Crime,",Elisabeth,13,"34,909",7.5
415,416,The Order,2019,60 m,"Drama,",Jake,18+,"26,744",6.8
416,417,I Think You Should Leave with Tim Robinson,2019,16 m,Comedy,Tim,13,"10,938",7.9
417,418,Monkeys,12,42 m,"Adventure,",Aaron,18+,"43,688",7.7
418,419,Candice Renoir,2013,52 m,"Comedy,",Cécile,18,"1,254",7.6
419,420,Wayward Pines,2015,60 m,"Drama,",Siobhan,18+,"54,687",7.4
420,421,The Outpost,2018,44 m,"Action,",Jessica,13,"7,967",6.6
421,422,Treadstone,2019,44 m,Action,Jeremy,18+,"10,198",7.0
422,423,PEN,15,30 m,Comedy,Maya,Not Rated,"10,423",8.1
423,424,Vis a vis,2015,53 m,"Drama,",Alba,18+,"20,945",8.2
424,425,Zone Blanche,2017,52 m,"Crime,",Suliane,16+,"10,627",7.5
425,426,Creepshow,2019,44 m,"Fantasy,",Hannah,18+,"6,766",7.1
426,427,Der Pass,2018,43 m,"Crime,",Julia,16,"6,029",8.0
427,428,Scream Queens,2015,45 m,"Comedy,",Emma,18+,"39,352",7.2
428,429,Below Deck Mediterranean,2016,43 m,Reality-TV,Sandy,16,"2,262",7.5
429,430,Nanatsu no taizai,2014,24 m,"Animation,",Bryce,18+,"29,684",8.0
430,431,Into the Dark,2018,90 m,"Drama,",Aurora,18,"4,559",6.3
431,432,Dix pour cent,2015,52 m,"Comedy,",Camille,18+,"13,236",8.3
432,433,The Brokenwood Mysteries,2014,90 m,"Crime,",Neill,18,"4,113",7.9
433,434,Easy,2016,30 m,Comedy,Michael,18+,"13,445",6.9
434,435,Erkenci Kus,2018,120 m,"Comedy,",Demet,18,"7,238",7.8
435,436,Utopia I,2013,50 m,"Drama,",Adeel,18+,"45,427",8.4
436,437,The Following,2013,43 m,"Crime,",Kevin,18+,"86,544",7.5
437,438,Queens of Mystery,2019,45 m,"Crime,",Martin,18+,"2,021",7.4
438,439,Insatiable,2018,45 m,"Comedy,",Dallas,7,"26,704",6.6
439,440,Future Man,2017,30 m,"Action,",Josh,18+,"24,403",7.7
440,441,Offspring,2010,60 m,"Comedy,",Asher,18,"4,687",8.4
441,442,Kota Factory,2019,45 m,"Comedy,",Mayur,18+,"66,527",9.3
442,443,The Librarians,2013,42 m,"Action,",Rebecca,16,"21,553",7.3
443,444,Runaways,2017,60 m,"Action,",Rhenzy,18+,"25,085",7.0
444,445,Inside No,9,30 m,"Comedy,",Reece,18+,"15,662",8.5
445,446,Kingdom,2014,43 m,"Drama,",Frank,18+,"17,611",8.5
446,447,Dark Matter,2015,42 m,"Adventure,",Melissa,16,"41,527",7.5
447,448,Day Fianc Before the Days,90,42 m,"Documentary,",Darcey,18+,969,6.6
448,449,Hemlock Grove,2013,46 m,"Drama,",Famke,16,"39,259",7.1
449,450,The Thundermans,2013,23 m,"Action,",Kira,18+,"5,132",5.8
450,451,Body of Proof,2011,60 m,"Comedy,",Dana,18,"17,489",7.2
451,452,Steven Universe,2013,11 m,"Animation,",Zach,18+,"31,424",8.3
452,453,Raising Hope,2010,22 m,"Comedy,",Lucas,16+,"37,015",8.1
453,454,A Place to Call Home,2013,60 m,Drama,Marta,18+,"5,254",8.3
454,455,The Spanish Princess,2019,55 m,"Drama,",Laura,18,"7,260",6.9
455,456,Fruits Basket,2019,24 m,"Animation,",Manaka,18+,"5,198",8.7
456,457,Le Bureau des L gendes,2015,52 m,"Drama,",Mathieu,18,"10,732",8.7
457,458,Siren,2018,60 m,"Drama,",Alex,18+,"13,554",7.1
458,459,The Durrells,2016,46 m,"Biography,",Keeley,18,"10,598",8.2
459,460,Falling Skies,2011,42 m,"Action,",Noah,18+,"88,310",7.2
460,461,Ballers,2015,30 m,"Comedy,",Dwayne,18+,"41,652",7.6
461,462,Sseulsseulhago Chalranhashin Dokkaebi,2016,120 m,"Comedy,",Gong,18+,"18,158",8.7
462,463,Yakusoku no Neverland,2019,23 m,"Animation,",Sumire,16,"33,593",8.4
463,464,Humans,2015,42 m,"Drama,",Katherine,18+,"39,080",8.0
464,465,The Society,2019,58 m,"Drama,",Kathryn,15+,"26,859",7.1
465,466,The Missing,2014,60 m,"Crime,",Tchéky,18+,"25,246",8.2
466,467,Bad Blood,2017,47 m,"Crime,",Kim,18,"9,545",7.5
467,468,F Is for Family,2015,30 m,"Animation,",Bill,18+,"35,531",8.0
468,469,Six,2017,60 m,"Action,",Barry,Not Rated,"12,342",7.3
469,470,Wellington Paranormal,2018,30 m,"Comedy,",Mike,18+,"4,539",7.6
470,471,Amphibia,2019,23 m,"Animation,",Brenda,18,"4,263",8.2
471,472,Steins Gate,2011,24 m,"Animation,",Mamoru,18+,"56,545",8.8
472,473,Cardinal,2017,42 m,"Crime,",Billy,13,"9,139",7.8
473,474,The Musketeers,2014,55 m,"Adventure,",Luke,18+,"21,934",7.8
474,475,Baby Daddy,2012,22 m,"Comedy,",Jean-Luc,18,"20,106",7.5
475,476,Girl Meets World,2014,23 m,"Comedy,",Rowan,18+,"14,276",7.3
476,477,Chesapeake Shores,2016,42 m,"Drama,",Meghan,16,"7,081",7.6
477,478,Jessie,2011,30 m,"Comedy,",Debby,18+,"15,088",6.1
478,479,Karppi,2018,45 m,"Crime,",Pihla,15+,"8,694",7.3
479,480,Homecoming,2018,30 m,"Drama,",Stephan,18+,"23,765",7.4
480,481,The Gifted I,2017,43 m,"Action,",Stephen,15+,"34,151",7.4
481,482,Harlots,2017,45 m,Drama,Lesley,18+,"8,466",7.7
482,483,All Rise,2019,44 m,Drama,Simone,16+,"4,483",6.7
483,484,Glitch,2015,45 m,"Drama,",Patrick,18+,"17,313",7.3
484,485,Dragon Ball Super Doragon b ru cho,2015,24 m,"Animation,",Masako,7,"28,034",8.4
485,486,Broad City,2014,22 m,Comedy,Ilana,18+,"30,408",8.4
486,487,Murder in Successville,2015,30 m,"Comedy,",Tom,13,"1,101",7.8
487,488,Wayne,2019,30 m,"Action,",Mark,18+,"13,947",8.4
488,489,The Other Two,2019,30 m,Comedy,Heléne,7,"5,710",7.8
489,490,Final Space,2018,30 m,"Animation,",Fred,18+,"41,385",8.3
490,491,Scott Bailey,2011,45 m,"Crime,",Suranne,18,"8,502",8.0
491,492,The Rain,2018,45 m,"Drama,",Alba,18+,"35,263",6.3
492,493,One Day at a Time,2017,30 m,"Comedy,",Justina,13,"15,602",8.2
493,494,Sacred Games,2018,50 m,"Action,",Saif,18+,"84,808",8.6
494,495,Lilyhammer,2012,45 m,"Comedy,",Steven,18,"28,982",8.0
495,496,The Valhalla Murders,2019,50 m,"Crime,",Aldís,18+,"12,930",7.1
496,497,Genius I,2017,43 m,"Biography,",Samantha,18+,"18,177",8.3
497,498,Single Parents,2018,30 m,Comedy,Taran,18+,"5,815",7.1
498,499,Revolution,2012,43 m,"Action,",Billy,18,"82,959",6.8
499,500,Sistas,2019,60 m,Comedy,Kj,18+,"1,212",5.6
500,501,Halt and Catch Fire,2014,60 m,Drama,Lee,12+,"31,571",8.4
501,502,High School Musical The Musical The Series,2019,31 m,"Comedy,",Olivia,18+,"6,204",7.2
502,503,Zoo,2015,42 m,"Drama,",James,18,"24,281",6.7
503,504,Master of None,2015,30 m,"Comedy,",Aziz,18+,"72,262",8.3
504,505,Private Eyes,2016,43 m,"Comedy,",Jason,18,"4,521",7.4
505,506,Happy,2017,60 m,"Action,",Christopher,18+,"37,250",8.2
506,507,Swamp Thing,2019,60 m,"Action,",Crystal,18,"23,948",7.5
507,508,Motherland,2016,30 m,Comedy,Anna,18+,"4,737",7.9
508,509,DCI Banks,2010,45 m,"Crime,",Stephen,18,"7,401",7.7
509,510,Nathan for You,2013,30 m,"Documentary,",Nathan,18+,"25,203",8.9
510,511,Da Vinci s Demons,2013,60 m,"Adventure,",Tom,16,"75,879",8.0
511,512,Roman Empire,2016,48 m,"Documentary,",Aaron,18+,"7,376",7.0
512,513,Switched at Birth,2011,60 m,"Drama,",Katie,18,"24,718",7.9
513,514,The Knick,2014,58 m,"Drama,",André,18+,"47,319",8.5
514,515,Brassic,2019,43 m,"Comedy,",Joe,16,"8,036",8.4
515,516,Black Lightning,2017,43 m,"Action,",Cress,18+,"24,715",6.1
516,517,Raven s Home,2017,22 m,"Comedy,","Raven-Symoné,",18,"2,980",7.4
517,518,The Great British Bake Off,2010,60 m,Reality-TV,Paul,18+,"9,534",8.6
518,519,Bunk d,2015,30 m,"Comedy,",Miranda,15+,"3,109",5.5
519,520,Tidelands,2018,60 m,"Crime,",Charlotte,18+,"7,646",6.9
520,521,Hercai,2019,120 m,"Drama,",Akin,18,"3,026",7.2
521,522,Cuckoo II,2012,30 m,Comedy,Greg,18+,"9,330",7.2
522,523,The L Word Generation Q,2019,55 m,Drama,Jennifer,All,"5,914",7.5
523,524,Saving Hope,2012,43 m,"Drama,",Erica,18+,"6,836",7.6
524,525,My Life Is Murder,2019,60 m,"Comedy,",Lucy,18,"2,989",7.6
525,526,Doctor Foster,2015,60 m,Drama,Suranne,18+,"18,491",7.7
526,527,K C Undercover,2015,30 m,"Action,","Zendaya,",16,"4,580",6.4
527,528,Deadly Class,2018,60 m,"Action,",Benedict,18+,"16,944",7.5
528,529,The Politician,2019,42 m,"Comedy,",Ben,16,"21,538",7.5
529,530,Tae yang eui hoo ye,2016,60 m,"Action,",Song,18+,"13,988",8.4
530,531,,3,49 m,"Action,",Bianca,A,"24,792",7.4
531,532,UnREAL,2015,42 m,Drama,Shiri,18+,"14,498",7.8
532,533,Impractical Jokers,2011,30 m,"Comedy,",Brian,UA 16+,"38,034",8.7
533,534,Dare Me,2019,42 m,"Crime,",Willa,18+,"4,919",6.7
534,535,Departure,2019,45 m,"Drama,",Archie,18,"14,697",7.3
535,536,Re Zero kara hajimeru isekai seikatsu,2016,24 m,"Animation,",Yûsuke,18+,"16,502",8.2
536,537,Skam,2015,30 m,"Drama,",Josefine,18,"32,214",8.7
537,538,Clique,2017,43 m,"Drama,",Rachel,18+,"2,952",6.9
538,539,Criminal UK,2019,43 m,"Crime,",Katherine,18,"17,675",7.6
539,540,DuckTales,2017,21 m,"Animation,",David,18+,"9,115",8.3
540,541,Taken,2017,41 m,"Action,",Clive,PG,"10,545",6.6
541,542,Super Dragon Ball Heroes,2018,10 m,"Animation,",Ryô,18+,"2,238",7.1
542,543,Claws,2017,45 m,"Comedy,",Niecy,13,"6,240",7.4
