,Rank,Series_Name,Release_year,Duration,Genre,Star,Licence,No_of_votes,Rating
949,950,The Path,2016,60 m,Drama,Aaron,18+,910,7.9
950,951,When Hope Calls,2019,45 m,"Drama,",Morgan,UA 13+,"16,803",7.7
951,952,Graceland,2013,325 m,"Action,",Daniel,18+,448,7.3
952,953,Blippi,2014,43 m,Family,Stevin,18,"7,416",7.0
953,954,Avengers Assemble,2012,45 m,"Animation,",Roger,18+,795,5.7
954,955,Blaze and the Monster Machines,2014,90 m,"Animation,",Nolan,18,"2,395",6.8
955,956,The Dead Files,2011,60 m,"Comedy,",Amy,18+,"4,092",7.1
956,957,Northern Rescue,2019,60 m,"Drama,",William,18,"9,011",8.4
957,958,Made in Abyss,2017,60 m,"Animation,",Miyu,18+,"35,510",7.3
958,959,The Tomorrow People,2013,21 m,"Action,",Robbie,16,"11,378",8.1
959,960,Inside Edge,2017,24 m,"Drama,",Tanuj,18+,"23,487",6.8
960,961,Dominion,2014,181 m,"Action,",Christopher,16,"5,273",7.7
961,962,Queen Sugar,2016,30 m,Drama,Rutina,18+,"11,480",7.3
962,963,The Passage,2019,60 m,"Action,",Mark-Paul,A,"13,751",7.7
963,964,Franklin Bash,2011,60 m,"Comedy,",Mark-Paul,18+,"2,895",8.0
964,965,Detroiters,2017,60 m,Comedy,Sam,16,"9,555",7.9
965,966,Kono subarashii sekai ni shukufuku o,2016,42 m,"Animation,",Jun,18+,"3,103",6.7
966,967,Cheat,2019,60 m,Thriller,Katherine,7,"2,664",6.5
967,968,Limetown,2019,30 m,"Crime,",Jessica,18+,"3,002",6.6
968,969,Traitors,2019,60 m,Thriller,Emma,A,"8,087",7.6
969,970,Damnation,2017,30 m,"Crime,",Logan,18+,"7,778",6.9
970,971,I Am the Night,2019,44 m,"Crime,",Chris,18,"11,650",6.6
971,972,The Client List,2011,1 m,"Crime,",Jennifer,18+,"10,214",8.4
972,973,Gran Hotel,2011,30 m,"Crime,",Adriana,18,"1,121",7.4
973,974,Driven,2018,42 m,Romance,Olivia,18+,"7,668",8.5
974,975,Yeokdoyojeong Gim Bokju,2016,30 m,"Comedy,",Lee,18,"20,187",6.9
975,976,Friends from College,2017,90 m,"Comedy,",Keegan-Michael,18+,"2,104",7.2
976,977,Are You Afraid of the Dark,2019,46 m,"Adventure,",Bryce,18,91,7.5
977,978,The Daily Bugle,2019,44 m,"Short,",Angourie,18+,"3,666",6.9
978,979,Splitting Up Together,2018,30 m,Comedy,Jenna,13,"3,450",8.3
979,980,Forged in Fire,2015,42 m,"Game-Show,",David,18+,"1,562",6.0
980,981,Femme Fatales,2011,30 m,"Crime,",Tanit,7,"3,468",7.4
981,982,Kurt Seyit ve Sura,2014,30 m,"Drama,",Kivanç,18+,964,6.8
982,983,Stella Bl mkvist,2017,30 m,"Crime,",Heida,16,"3,599",6.6
983,984,Ransom,2017,24 m,"Action,",Luke,18+,"9,940",6.8
984,985,Disjointed,2017,24 m,Comedy,Kathy,13,"3,502",6.1
985,986,The Slap,2015,50 m,Drama,Brian,18+,"10,938",7.4
986,987,White Gold,2017,85 m,Comedy,Ed,All,"3,336",6.2
987,988,Now Apocalypse,2019,120 m,Comedy,Avan,18+,"1,054",6.3
988,989,Beat Bobby Flay,2013,60 m,Reality-TV,Bobby,16,"3,958",7.8
989,990,Go Toubun no Hanayome,2019,120 m,"Animation,",Yoshitsugu,18+,"6,023",8.0
990,991,Yahari ore no seishun rabukome wa machigatteiru,2013,43 m,"Animation,",Cat,16,"14,853",8.2
991,992,Criminal Justice,2019,29 m,"Crime,",Vikrant,18+,"1,626",6.6
992,993,My lb Life,600,24 m,Reality-TV,Younan,7,"2,724",7.0
993,994,Bizim Hikaye,2017,50 m,"Comedy,",Hazal,18+,"5,512",7.0
994,995,The Good Cop,2018,40 m,"Comedy,",Tony,7,"1,587",7.3
995,996,Avlu,2018,40 m,"Crime,",Demet,18+,"1,139",3.3
996,997,The Real Housewives of Miami,2011,40 m,Reality-TV,Adriana,18,"4,124",7.0
997,998,Sweetbitter,2018,40 m,Drama,Ella,18+,"1,472",6.5
998,999,Bubble Guppies,2011,40 m,"Animation,",Brianna,13,"18,385",8.5
999,"1,000",Delhi Crime,000,40 m,"Crime,",Shefali,18+,"102,520",7.6
